gene	locus	Step
cusA	b0575	6
pheP	b0576	6
ybdG	b0577	6
nfnB	b0578	6
ybdF	b0579	6
ybdJ	b0580	6
ybdK	b0581	6
hokE	b4415	6
insL	b0582	6
yijP	b3955	7
yijO	b3954	7
frwD	b3953	7
pflC	b3952	7
pflD	b3951	7
frwB	b3950	7
frwC	b3949	7
ptsA	b3947	7
rhaT	b3907	7
rhaR	b3906	7
rhaS	b3905	7
rhaB	b3904	7
rhaA	b3903	7
rhaD	b3902	7
yiiL	b3901	7
frvA	b3900	7
frvB	b3899	7
frvX	b3898	7
frvR	b3897	7
yiiG	b3896	7
yiiF	b3890	7
yiiE	b3889	7
yiiD	b3888	7
dtd	b3887	7
rbn	b3886	7
yihX	b3885	7
yihW	b3884	7
yihV	b3883	7
yihU	b3882	7
yihT	b3881	7
yihS	b3880	7
yihR	b3879	7
yihQ	b3878	7
yihP	b3877	7
yihO	b3876	7
ompL	b3875	7
yihN	b3874	7
yihM	b3873	7
yihL	b3872	7
yqeG	b2845	8
yqeH	b2846	8
yqeI	b2847	8
yqeJ	b2848	8
yqeK	b2849	8
ygeF	b2850	8
ygeG	b2851	8
ygeH	b2852	8
ygeI	b2853	8
ygeK	b2855	8
ygeL	b2856	8
ygeM	b2857	8
ygeO	b2859	8
insD	b2860	8
insC	b2861	8
ygeP	b2862	8
ygeQ	b2863	8
ygeR	b2865	8
xdhA	b2866	8
xdhB	b2867	8
xdhC	b2868	8
ygeV	b2869	8
ygeW	b2870	8
ygeX	b2871	8
ygeY	b2872	8
hyuA	b2873	8
yqeA	b2874	8
yqeB	b2875	8
yqeC	b2876	8
ygfJ	b2877	8
ygfK	b2878	8
ssnA	b2879	8
ygfM	b2880	8
xdhD	b2881	8
ygfO	b2882	8
guaD	b2883	8
ygfQ	b4464	8
ygfS	b2886	8
ygfT	b2887	8
ygfU	b2888	8
idi	b2889	8
yafJ	b0223	9
yafK	b0224	9
yafQ	b0225	9
dinJ	b0226	9
yafL	b0227	9
yafM	b0228	9
dinB	b0231	9
yafN	b0232	9
yafO	b0233	9
yafP	b0234	9
ykfJ	b0235	9
prfH	b0236	9
ykfI	b0245	9
yafW	b0246	9
ykfH	b4504	9
ykfG	b0247	9
yafX	b0248	9
ykfF	b0249	9
ykfB	b0250	9
yafY	b0251	9
yafZ	b0252	9
ykfA	b0253	9
perR	b0254	9
insN	b0255	9
insI	b0256	9
insO	b0257	9
ykfC	b0258	9
insH	b0259	9
mmuP	b0260	9
mmuM	b0261	9
afuC	b0262	9
afuB	b0263	9
insB	b0264	9
insA	b0265	9
ykgN	b4505	9
yagB	b0266	9
yagA	b0267	9
yagE	b0268	9
yagF	b0269	9
yagG	b0270	9
yagH	b0271	9
yagI	b0272	9
argF	b0273	9
insB	b0274	9
insA	b0275	9
yagJ	b0276	9
yagK	b0277	9
yagL	b0278	9
yagM	b0279	9
yagN	b0280	9
intF	b0281	9
yagP	b0282	9
yagQ	b0283	9
yagR	b0284	9
yagS	b0285	9
yagT	b0286	9
yagU	b0287	9
ykgJ	b0288	9
yagV	b0289	9
yagW	b0290	9
yagX	b0291	9
yagY	b0292	9
yagZ	b0293	9
ykgK	b0294	9
ykgL	b0295	9
ykgM	b4506	9
ykgM	b0296	9
eaeH	b0297	9
insE	b0298	9
insF	b0299	9
ykgA	b0300	9
ykgB	b0301	9
ykgI	b0303	9
ykgC	b0304	9
ykgD	b0305	9
ykgE	b0306	9
ykgF	b0307	9
ykgG	b0308	9
ykgH	b0310	9
betA	b0311	9
betB	b0312	9
betI	b0313	9
betT	b0314	9
yahA	b0315	9
yahB	b0316	9
yahC	b0317	9
yahD	b0318	9
yahE	b0319	9
yahF	b0320	9
yahG	b0321	9
yahH	b0322	9
yahI	b0323	9
yahJ	b0324	9
yahK	b0325	9
yahL	b0326	9
yahM	b0327	9
yahN	b0328	9
yahO	b0329	9
prpR	b0330	9
prpB	b0331	9
prpC	b0333	9
prpD	b0334	9
prpE	b0335	9
codB	b0336	9
codA	b0337	9
cynR	b0338	9
cynT	b0339	9
cynS	b0340	9
cynX	b0341	9
lacA	b0342	9
lacY	b0343	9
lacZ	b0344	9
lacI	b0345	9
mhpR	b0346	9
mhpA	b0347	9
mhpB	b0348	9
mhpC	b0349	9
mhpD	b0350	9
mhpF	b0351	9
mhpE	b0352	9
mhpT	b0353	9
yaiL	b0354	9
frmB	b0355	9
frmA	b0356	9
frmR	b0357	9
yaiO	b0358	9
insC	b0360	9
insD	b0361	9
yaiF	b0362	9
yaiP	b0363	9
yaiS	b0364	9
tauA	b0365	9
tauB	b0366	9
tauC	b0367	9
tauD	b0368	9
yaiT	b0371	9
insF	b0372	9
insE	b0373	9
yaiU	b0374	9
yaiV	b0375	9
ampH	b0376	9
sbmA	b0377	9
yaiW	b0378	9
yaiY	b0379	9
yaiZ	b0380	9
ddlA	b0381	9
yaiB	b0382	9
phoA	b0383	9
psiF	b0384	9
yaiC	b0385	9
hsrA	b3754	10
rbsR	b3753	10
rbsK	b3752	10
rbsB	b3751	10
rbsC	b3750	10
rbsA	b3749	10
rbsD	b3748	10
trkD	b3747	10
yieN	b3746	10
yieM	b3745	10
yidB	b3698	10
yidA	b3697	10
yidX	b3696	10
