protein_ID	iBAQ_DGF-298_1	iBAQ_DGF-298_2	iBAQ_DGF-298_3	iBAQ_MGF-01_1	iBAQ_MGF-01_2	iBAQ_MGF-01_3	iBAQ_MGF-02_1	iBAQ_MGF-02_2	iBAQ_MGF-02_3	iBAQ_Step04_1	iBAQ_Step04_2	iBAQ_Step04_3	iBAQ_Step05_1	iBAQ_Step05_2	iBAQ_Step05_3	iBAQ_Step09_1	iBAQ_Step09_2	iBAQ_Step09_3	iBAQ_Step10_1	iBAQ_Step10_2	iBAQ_Step10_3	iBAQ_W3110_1	iBAQ_W3110_2	iBAQ_W3110_3	norm_iBAQ_DGF-298_1	norm_iBAQ_DGF-298_2	norm_iBAQ_DGF-298_3	norm_iBAQ_MGF-01_1	norm_iBAQ_MGF-01_2	norm_iBAQ_MGF-01_3	norm_iBAQ_MGF-02_1	norm_iBAQ_MGF-02_2	norm_iBAQ_MGF-02_3	norm_iBAQ_Step04_1	norm_iBAQ_Step04_2	norm_iBAQ_Step04_3	norm_iBAQ_Step05_1	norm_iBAQ_Step05_2	norm_iBAQ_Step05_3	norm_iBAQ_Step09_1	norm_iBAQ_Step09_2	norm_iBAQ_Step09_3	norm_iBAQ_Step10_1	norm_iBAQ_Step10_2	norm_iBAQ_Step10_3	norm_iBAQ_W3110_1	norm_iBAQ_W3110_2	norm_iBAQ_W3110_3
W3110_lambdaRed.CDS.3943	365670.0	555570.0	589520.0	360800.0	296400.0	196460.0	1061700.0	563370.0	386440.0	314270.0	169310.0	342700.0	429730.0	367070.0	220250.0	546190.0	734800.0	262730.0	584880.0	368550.0	325880.0	1206600.0	211190.0	291530.0	0.0013336566532253338	0.0025373256643742756	0.002357295812734336	0.0017900399885946538	0.0017787637655075459	0.002415790056184383	0.004648362533253416	0.003940525878947504	0.004129717792955575	0.0006615249367419197	0.0006780724943210889	0.0015880124679552741	0.00217543355168361	0.0022413149017652657	0.0016850205210480831	0.002201948063449315	0.0037350291282124857	0.0026213508200663644	0.0025609565592744363	0.0016393901653655554	0.003448319069939077	0.00413617806937907	0.0010552971729282268	0.002459015214629225
W3110_lambdaRed.CDS.3946	365360.0	289210.0	372610.0	312520.0	229120.0	103190.0	340230.0	162240.0	117210.0	809150.0	445730.0	301970.0	325970.0	177230.0	177580.0	365620.0	248350.0	108940.0	269080.0	292200.0	108980.0	353070.0	156520.0	190770.0	0.0013325260339169414	0.0013208415778276081	0.0014899443492721893	0.0015505080300321542	0.0013750011941737143	0.001268886164601784	0.001489603828472082	0.0011347975905718142	0.001252572773295526	0.001703226214925778	0.0017851116466466184	0.0013992766995869685	0.001650166557704387	0.0010821593702559677	0.0013585740936559298	0.0014739857027011452	0.0012623768154485177	0.00108693319505968	0.001178194144045899	0.0012997688409166065	0.0011531785081685302	0.0012103102858906584	0.0007821161679375258	0.0016091185555339668
W3110_lambdaRed.CDS.3947	327200.0	491750.0	569110.0	263590.0	240470.0	30389.0	230250.0	174720.0	76997.0	120630.0	0.0	209360.0	194160.0	149760.0	159090.0	550000.0	156010.0	0.0	364130.0	0.0	0.0	41902.0	477700.0	0.0	0.0011933504442128947	0.002245855419579981	0.002275682962385056	0.0013077512211576076	0.0014431151237908216	0.0003736813805221786	0.0010080865341260232	0.0012220897129234921	0.0008228337669604607	0.00025392100142927347	0.0	0.0009701379932626676	0.0009829013063898022	0.000914428636740584	0.0012171165252828128	0.002217307960411438	0.000793007477262425	0.0	0.0015943802351398588	0.0	0.0	0.00014363843317016559	0.0023870233415777924	0.0
W3110_lambdaRed.CDS.3950	72621000.0	51603000.0	77769000.0	63878000.0	47243000.0	13829000.0	60941000.0	44944000.0	16738000.0	111460000.0	47308000.0	43217000.0	56917000.0	47667000.0	24125000.0	64553000.0	51738000.0	22474000.0	68131000.0	53534000.0	15325000.0	63953000.0	32412000.0	26908000.0	0.26486033804763026	0.2356743817317453	0.31097255065228757	0.3169184434352808	0.283515980343701	0.17004968282079727	0.26681347003767203	0.3143635534434148	0.1788717948931022	0.23461854281113173	0.1894646126120257	0.20026009579113824	0.2881324353923999	0.291052816690127	0.1845680820444268	0.26024341957898095	0.2629871217140141	0.22423110543208416	0.2983185120707267	0.23813081837655584	0.16216242097341463	0.21922840715315736	0.16195980855603812	0.22696525707557783
W3110_lambdaRed.CDS.3951	421860.0	330910.0	260560.0	836050.0	728940.0	572610.0	1034200.0	263190.0	541240.0	1634300.0	879660.0	893710.0	810660.0	262210.0	663410.0	714400.0	411330.0	511580.0	765440.0	929830.0	160860.0	0.0	166430.0	331290.0	0.0015385905207691067	0.0015112882905810097	0.0010418933996574477	0.004147901697518184	0.004374534612783638	0.007041156184830192	0.0045279613185369525	0.001840898532190556	0.005783998701633567	0.0034401317469606374	0.00352296527289876	0.004141297410960922	0.004103825571888943	0.0016010438891543037	0.005075411867734432	0.002880081467123511	0.0020908131890414287	0.00510421593472215	0.003351556881293641	0.004136085083331582	0.0017021498882729836	0.0	0.0008316355343077077	0.0027943853135338256
W3110_lambdaRed.CDS.3952	19909000.0	15069000.0	18248000.0	8396000.0	6871700.0	3749200.0	11994000.0	8401300.0	5241000.0	26528000.0	14362000.0	13322000.0	11856000.0	8594800.0	5897900.0	12783000.0	10446000.0	6498000.0	12818000.0	13141000.0	6394100.0	16895000.0	13376000.0	6821700.0	0.07261128971220819	0.06882113943599538	0.07296772627014549	0.04165514341530131	0.04123863349338125	0.04610241310519438	0.0525124425203367	0.05876340605073338	0.05600830905931107	0.055840307766855404	0.05751861770385375	0.061731841546834434	0.06001894256570609	0.052479508861231115	0.04512182760994092	0.05153426846898074	0.05309759699688027	0.06483286122175326	0.056124916524380605	0.05845401210980536	0.0676595586261736	0.057915405670611125	0.06683865232770474	0.057540095666436336
W3110_lambdaRed.CDS.3953	3719900.0	2971300.0	3066100.0	2690500.0	1573700.0	860700.0	2362900.0	1247900.0	776640.0	3876700.0	2588600.0	1962500.0	1498100.0	1290100.0	907110.0	2144800.0	1408300.0	828630.0	1517400.0	2312900.0	829650.0	2559400.0	1615900.0	1121600.0	0.013567066984803016	0.01357012752048398	0.0122603214334115	0.013348399637788019	0.009444131369025725	0.01058368370842868	0.010345310191037483	0.008728512779059214	0.008299617086018575	0.008160288039798264	0.01036712810111376	0.009093885230120297	0.007583871276795234	0.00787729957437919	0.006939836389774922	0.008646694751800821	0.007158466958712089	0.008267536748873715	0.006644090211740921	0.010288279781505883	0.008778992010479181	0.008773524076552953	0.008074504956364989	0.009460540818194144
W3110_lambdaRed.CDS.3955	0.0	0.0	0.0	0.0	0.0	0.0	617900.0	0.0	0.0	0.0	0.0	0.0	0.0	509310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	670550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002705305839029185	0.0	0.0	0.0	0.0	0.0	0.0	0.0031098267159344745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033506772068138766	0.0
W3110_lambdaRed.CDS.3956	155990.0	118500.0	142610.0	44920.0	32520.0	12023.0	73810.0	53326.0	33367.0	154090.0	40398.0	23684.0	76733.0	44761.0	0.0	52996.0	75950.0	33625.0	101020.0	62649.0	38007.0	0.0	95252.0	26423.0	0.0005689203416649433	0.000541197493076213	0.0005702502983003862	0.0002228619631033034	0.00019515991111439067	0.00014784202303524808	0.0003231568602989871	0.00037299196446519085	0.00035657875374585623	0.000324352873333638	0.00016179063626237876	0.0001097475555618696	0.0003884474966172677	0.0002733088956273056	0.0	0.00021365173212720828	0.00038605805972746093	0.0003354886055065333	0.000442326343212118	0.00027867631113820835	0.00040217338557498007	0.0	0.0004759655585764452	0.00022287434917897991
W3110_lambdaRed.CDS.3957	45336000.0	34233000.0	51635000.0	30466000.0	31705000.0	13303000.0	33495000.0	20263000.0	19121000.0	73182000.0	28953000.0	43565000.0	25937000.0	25165000.0	16347000.0	41588000.0	48456000.0	28185000.0	50708000.0	29781000.0	13147000.0	67130000.0	43057000.0	25043000.0	0.1653476031138013	0.15634442008842195	0.20647131444316977	0.15115121477972487	0.19026891088197279	0.1635816711667558	0.1466486795246521	0.14173079128301697	0.20433788924309995	0.15404498654229537	0.11595436139671897	0.20187266754149846	0.13130156151541153	0.15365649468200318	0.12506256734425883	0.16766073355925612	0.24630453380057732	0.28121178724763246	0.2220301347416361	0.1324723335090262	0.1391157813075029	0.23011904011057266	0.2151519029062487	0.2112342401123716
