,Well,Strain,Cumate,Inoculation
22,O18,Step12,20.0,M9CA
23,P18,Step12,100.0,M9CA
24,M19,Step13,0.0,M9CA
25,N19,Step13,5.0,M9CA
26,O19,Step13,20.0,M9CA
27,P19,Step13,100.0,M9CA
28,M20,Step15,0.0,M9CA
29,N20,Step15,5.0,M9CA
30,O20,Step15,20.0,M9CA
31,P20,Step15,100.0,M9CA
32,M21,Step16,0.0,M9CA
33,N21,Step16,5.0,M9CA
34,O21,Step16,20.0,M9CA
35,P21,Step16,100.0,M9CA
36,M22,MGF01,0.0,M9CA
37,N22,MGF01,5.0,M9CA
38,O22,MGF01,20.0,M9CA
39,P22,MGF01,100.0,M9CA
40,M23,MGF02,0.0,M9CA
41,N23,MGF02,5.0,M9CA
42,O23,MGF02,20.0,M9CA
43,P23,MGF02,100.0,M9CA
44,M24,DGF298,0.0,M9CA
45,N24,DGF298,5.0,M9CA
46,O24,DGF298,20.0,M9CA
47,P24,DGF298,100.0,M9CA
