Blattner	index	W3110_control	W3110_cumate	Step_06_control	Step_06_cumate	Step_07_control	Step_07_cumate	Step_11_control	Step_11_cumate	Step_12_lowOD_control	Step_12_lowOD_cumate	Step_15_control	Step_15_cumate	Step_16_control	Step_16_cumate	MGF-01_control	MGF-01_cumate	MGF-02_control	MGF-02_cumate
b3931	W3110_lambdaRed.CDS.3351	0.09958623825998125	0.09892642346541326	0.10087543374098133	0.11386907156018099	0.10583921359931052	0.12793512159293058	0.10475848583139889	0.11397630644290656	0.07588882973423294	0.11237164589404051	0.0896907185052347	0.10817117547815154	0.09575736523118271	0.10857891536450927	0.08704897377171157	0.1169278905144554	0.07524449654689018	0.11925512212054813
b3929	W3110_lambdaRed.CDS.3353	0.03247646351622507	0.03318597384692123	0.030733511503965135	0.039416331808929915	0.03155474547589505	0.04600507590447402	0.036440671865968915	0.035146750057928125	0.03137063109921199	0.02914014283590337	0.021033396743980425	0.017994262733542887	0.025797526530633868	0.02893037584516044	0.028176170592990074	0.033590426826827946	0.026454845397504718	0.03165613287848138
b3928	W3110_lambdaRed.CDS.3354	0.048993207257063	0.05375937397020134	0.06212033286423909	0.06405168043338207	0.055194894642314224	0.059287489903322915	0.04691787231315032	0.05318234842499627	0.058961466738546235	0.057137573917490324	0.04802601525510822	0.03467659391696277	0.054305096437598475	0.04580906880975135	0.05813648817992173	0.057839920155048206	0.058492623328759895	0.056108961925818546
b3926	W3110_lambdaRed.CDS.3356	0.0029934569235864016	0.0027522645856484142	0.0037921694745399644	0.0030450581011440144	0.004182630562022352	0.00323021983373965	0.003037282127048955	0.003364250041859537	0.003423622486726069	0.002630994274846546	0.0041049770913639295	0.00232877306619811	0.004378922900992232	0.003076513137226447	0.0031069346910769942	0.0017831721214478086	0.0030724601459164703	0.0024816685358134247
b3925	W3110_lambdaRed.CDS.3357	0.010245215165845901	0.009855990244485186	0.011213816070381523	0.0056548539202074324	0.01138199911018776	0.005811016848844595	0.008485864866245425	0.007144691560352567	0.0076136090989312386	0.004578013955754689	0.013870254713524348	0.0057425622531167	0.011838678914093457	0.00959934593163095	0.010244691669687724	0.005527725033404811	0.007894100948273834	0.00470697388384144
b3924	W3110_lambdaRed.CDS.3358	0.0038856250052768187	0.004558027562633693	0.005702174850097751	0.004402593927361489	0.007211982638221302	0.002740408062388119	0.005467934281672855	0.004291289893051575	0.004636367822291081	0.003629656240941642	0.0021423419787386043	0.003367356863308185	0.005082407589669231	0.0035824155949086816	0.006128721198943514	0.00450828309332895	0.005735437404598989	0.004191447774968146
b3923	W3110_lambdaRed.CDS.3359	0.005257642481144145	0.003796959059718375	0.004390092380765644	0.004131825428716187	0.004710718885372409	0.003345461874806129	0.005228523009878218	0.003421618255676778	0.009348569055264875	0.0031130682510908466	0.015114693039127866	0.0033871024370943233	0.006656640746912755	0.004020568495931939	0.007256250175427474	0.003203538417997321	0.008152213698415458	0.0026732171873185395
b3922	W3110_lambdaRed.CDS.3360	0.0011308582702438121	0.0006396003290274013	0.0010829537047475214	0.00043297453160592403	0.0010207950390663896	0.0006303435165327815	0.0011624986795735006	0.0008124129853312855	0.0030566225537215137	0.00045187975606803785	0.0024464240806392284	0.0002885306994827943	0.0024840017348329827	0.0009752076482316026	0.0026950447005473937	0.0005914459509927646	0.002159523103230698	0.0007888980620797855
b3920	W3110_lambdaRed.CDS.3362	0.0022334661234628774	0.006376938234656113	0.002656693624536551	0.004390027386188248	0.002424819298040957	0.0037928877296900926	0.0023573120964271482	0.007432129029581039	0.0014996632483502954	0.0057344029663184935	0.005845451534181638	0.0013505218816603588	0.003574776291529203	0.004681799455835638	0.0015646135032756838	0.005817912726080845	0.002504767155413068	0.00577946300113629
b3919	W3110_lambdaRed.CDS.3363	0.17022297998595792	0.21502992098995	0.20944056108892947	0.16080974148622748	0.21729956274291262	0.16975214785110962	0.2044535744233981	0.1554352268120451	0.1895711138556747	0.11712588767732268	0.256988785298361	0.16760033606579183	0.24121645619473622	0.2624438493372582	0.23956819980436594	0.17132695306031695	0.21679084021984477	0.15967223438358988
