$gene_or_promoter	SolutionOrder	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass
b1927	9	0.910191488255	0.0102262192413	65.0920941497
b1928	9	0.910191488255	0.0451780557846	65.1372722055
b1929	9	0.910191488255	0.00171570431666	65.1389879098
b1930	9	0.910191488255	4.59165577905e-07	65.138988369
b1931	9	0.910191488255	4.59165577905e-07	65.1389888281
b1932	9	0.910191488255	4.59165577905e-07	65.1389892873
b4495	9	0.910191488255	4.59165577905e-07	65.1389897465
b1936	9	0.910191488255	4.59165577905e-07	65.1389902056
b1937	9	0.910191488255	4.59165577905e-07	65.1389906648
PM0-8720	9	0.910191488255	4.59165577905e-07	65.138991124
PM-8797	9	0.910191488255	4.59165577905e-07	65.1389915831
PM-8793	9	0.910191488255	4.59165577905e-07	65.1389920423
b1938	9	0.910191488255	4.22276331655e-05	65.1390342699
b1939	9	0.910191488255	0.00042562043649	65.1394598904
b1940	9	0.910191488255	4.59165577905e-07	65.1394603495
b1941	9	0.910191488255	4.59165577905e-07	65.1394608087
b1942	9	0.910191488255	0.000441805549557	65.1399026142
b1943	9	0.910191488255	4.59165577905e-07	65.1399030734
PM164	9	0.910191488255	4.59165577905e-07	65.1399035326
PM165	9	0.910191488255	4.59165577905e-07	65.1399039917
b1944	9	0.910191488255	4.59165577905e-07	65.1399044509
b1945	9	0.910191488255	4.59165577905e-07	65.1399049101
b1946	9	0.910191488255	4.59165577905e-07	65.1399053692
b1947	9	0.910191488255	4.59165577905e-07	65.1399058284
b1948	9	0.910191488255	4.59165577905e-07	65.1399062876
b1949	9	0.910191488255	4.59165577905e-07	65.1399067467
b1950	9	0.910191488255	4.59165577905e-07	65.1399072059
PM00636	9	0.910191488255	4.59165577905e-07	65.1399076651
b1951	9	0.910191488255	4.59165577905e-07	65.1399081242
b1952	9	0.910191488255	4.59165577905e-07	65.1399085834
b1953	9	0.910191488255	4.59165577905e-07	65.1399090426
b1954	9	0.910191488255	4.59165577905e-07	65.1399095017
PM0-10501	9	0.910191488255	4.59165577905e-07	65.1399099609
b1955	9	0.910191488255	0.00193088667959	65.1418408476
b1956	9	0.910191488255	0.000700761544883	65.1425416091
b1957	9	0.910191488255	4.59165577905e-07	65.1425420683
b1958	9	0.910191488255	4.59165577905e-07	65.1425425274
b1959	9	0.910191488255	4.59165577905e-07	65.1425429866
b1960	9	0.910191488255	4.59165577905e-07	65.1425434458
b1961	9	0.910191488255	4.59165577905e-07	65.1425439049
b1962	9	0.910191488255	4.59165577905e-07	65.1425443641
b1963	9	0.910191488255	4.59165577905e-07	65.1425448233
PM0-9468	9	0.910191488255	4.59165577905e-07	65.1425452824
b4603	9	0.910191488255	4.59165577905e-07	65.1425457416
b4496	9	0.910191488255	4.59165577905e-07	65.1425462008
PM0-9580	9	0.910191488255	4.59165577905e-07	65.1425466599
b1967	9	0.910191488255	0.0324816180222	65.175028278
b1968	9	0.910191488255	4.59165577905e-07	65.1750287371
b1969	9	0.910191488255	4.59165577905e-07	65.1750291963
PM0-45171	9	0.910191488255	4.59165577905e-07	65.1750296555
b1970	9	0.910191488255	0.0098359657616	65.1848656212
b1971	9	0.910191488255	0.00118755025256	65.1860531715
b1972	9	0.910191488255	4.59165577905e-07	65.1860536306
PM0-8710	9	0.910191488255	4.59165577905e-07	65.1860540898
b1973	9	0.910191488255	0.00110131639769	65.1871554062
b1974	9	0.910191488255	4.59165577905e-07	65.1871558654
b1975	9	0.910191488255	4.59165577905e-07	65.1871563245
PM00668	9	0.910191488255	4.59165577905e-07	65.1871567837
b1976	9	0.910191488255	0.0216335182893	65.208790302
PM00649	9	0.910191488255	4.59165577905e-07	65.2087907611
b1977	9	0.910191488255	4.59165577905e-07	65.2087912203
b1978	9	0.910191488255	4.59165577905e-07	65.2087916795
b4497	9	0.910191488255	4.59165577905e-07	65.2087921386
PM0-46175	9	0.910191488255	4.59165577905e-07	65.2087925978
b1981	9	0.910191488255	0.00236653254426	65.2111591304
PM00391	9	0.910191488255	4.59165577905e-07	65.2111595895
b1982	9	0.910191488255	4.59165577905e-07	65.2111600487
b1983	9	0.910191488255	0.0880755015819	65.2992355503
b1984	9	0.910191488255	4.59165577905e-07	65.2992360094
b1985	9	0.910191488255	4.59165577905e-07	65.2992364686
PM00650	9	0.910191488255	4.59165577905e-07	65.2992369278
b1986	9	0.910191488255	4.59165577905e-07	65.2992373869
b1987	9	0.910191488255	4.59165577905e-07	65.2992378461
PM326	9	0.910191488255	4.59165577905e-07	65.2992383053
b1988	9	0.910191488255	4.59165577905e-07	65.2992387644
PM65	9	0.910191488255	4.59165577905e-07	65.2992392236
PM00651	9	0.910191488255	4.59165577905e-07	65.2992396828
b1989	9	0.910191488255	4.59165577905e-07	65.2992401419
b1990	9	0.910191488255	0.00364102748331	65.3028811694
b1991	9	0.910191488255	4.59165577905e-07	65.3028816286
b1992	9	0.910191488255	4.59165577905e-07	65.3028820877
b1993	9	0.910191488255	4.59165577905e-07	65.3028825469
PM0-8751	9	0.910191488255	4.59165577905e-07	65.3028830061
b4639	9	0.910191488255	4.59165577905e-07	65.3028834652
b1994	9	0.910191488255	4.59165577905e-07	65.3028839244
b4640	9	0.910191488255	4.59165577905e-07	65.3028843836
b4641	9	0.910191488255	4.59165577905e-07	65.3028848427
b4582	9	0.910191488255	4.59165577905e-07	65.3028853019
b1996	9	0.910191488255	4.59165577905e-07	65.3028857611
b1997	9	0.910191488255	4.59165577905e-07	65.3028862202
b1999	9	0.910191488255	4.59165577905e-07	65.3028866794
PM0-2881	9	0.910191488255	4.59165577905e-07	65.3028871386
b4435	9	0.910191488255	4.59165577905e-07	65.3028875977
PM0-10071	9	0.910191488255	4.59165577905e-07	65.3028880569
b2000	9	0.910191488255	0.0105401099873	65.3134281669
b2001	9	0.910191488255	4.59165577905e-07	65.313428626
b2002	9	0.910191488255	4.59165577905e-07	65.3134290852
b2003	9	0.910191488255	4.59165577905e-07	65.3134295444
b2004	9	0.910191488255	4.59165577905e-07	65.3134300035
b2005	9	0.910191488255	4.59165577905e-07	65.3134304627
b2006	9	0.910191488255	4.59165577905e-07	65.3134309219
b4642	9	0.910191488255	4.59165577905e-07	65.313431381
b4538	9	0.910191488255	4.59165577905e-07	65.3134318402
b2007	9	0.910191488255	4.59165577905e-07	65.3134322994
b2008	9	0.910191488255	4.59165577905e-07	65.3134327585
b2009	9	0.910191488255	4.59165577905e-07	65.3134332177
PM0-10073	9	0.910191488255	4.59165577905e-07	65.3134336769
b2010	9	0.910191488255	4.59165577905e-07	65.313434136
PM00396	9	0.910191488255	4.59165577905e-07	65.3134345952
b2011	9	0.910191488255	4.59165577905e-07	65.3134350544
b2012	9	0.910191488255	4.59165577905e-07	65.3134355135
b2013	9	0.910191488255	0.00137009600818	65.3148056095
PM0-10075	9	0.910191488255	4.59165577905e-07	65.3148060687
b2014	9	0.910191488255	4.59165577905e-07	65.3148065279
b4678	9	0.910191488255	4.59165577905e-07	65.314806987
b2015	9	0.910191488255	4.59165577905e-07	65.3148074462
b2016	9	0.910191488255	4.59165577905e-07	65.3148079054
b4539	9	0.910191488255	4.59165577905e-07	65.3148083645
b2017	9	0.910191488255	4.59165577905e-07	65.3148088237
PM0-10318	9	0.910191488255	4.59165577905e-07	65.3148092829
PM0-7141	9	0.910191488255	4.59165577905e-07	65.314809742
PM00100	8	0.0949279533945	4.59165577905e-07	163.491640603
b3813	8	0.0949279533945	4.59165577905e-07	163.491641062
b4482	8	0.0949279533945	4.59165577905e-07	163.491641521
PM00602	8	0.0949279533945	4.59165577905e-07	163.491641981
b3816	8	0.0949279533945	0.0167676853121	163.508409666
b3817	8	0.0949279533945	4.59165577905e-07	163.508410125
b3818	8	0.0949279533945	4.59165577905e-07	163.508410584
b3819	8	0.0949279533945	4.59165577905e-07	163.508411043
b3820	8	0.0949279533945	4.59165577905e-07	163.508411503
PM0-10162	8	0.0949279533945	4.59165577905e-07	163.508411962
PM0-10360	8	0.0949279533945	4.59165577905e-07	163.508412421
b3821	8	0.0949279533945	0.00140321999232	163.509815641
b3822	8	0.0949279533945	4.59165577905e-07	163.5098161
b3823	8	0.0949279533945	4.59165577905e-07	163.509816559
b3824	8	0.0949279533945	4.59165577905e-07	163.509817018
b3825	8	0.0949279533945	4.59165577905e-07	163.509817478
b3826	8	0.0949279533945	4.59165577905e-07	163.509817937
b3827	8	0.0949279533945	4.59165577905e-07	163.509818396
b3828	8	0.0949279533945	0.00262706550145	163.512445461
PM0-8603	8	0.0949279533945	4.59165577905e-07	163.512445921
PM0-8601	8	0.0949279533945	4.59165577905e-07	163.51244638
b3829	8	0.0949279533945	4.59165577905e-07	163.512446839
b3830	8	0.0949279533945	4.59165577905e-07	163.512447298
PM0-9097	8	0.0949279533945	4.59165577905e-07	163.512447757
PM00179	8	0.0949279533945	4.59165577905e-07	163.512448216
b3831	8	0.0949279533945	0.07411942178	163.586567638
b3832	8	0.0949279533945	4.59165577905e-07	163.586568097
b3833	8	0.0949279533945	4.59165577905e-07	163.586568557
PM0-10091	7	4.19366640413	4.59165577905e-07	73.5895635143
b2414	7	4.19366640413	4.19366594496	77.7832294593
PM00633	7	4.19366640413	4.59165577905e-07	77.7832299185
b0433	6	2.83457780068	4.59165577905e-07	17.8982804851
b0434	6	2.83457780068	0.177742387456	18.0760228726
PM0-46359	6	2.83457780068	4.59165577905e-07	18.0760233317
PM0-9325	6	2.83457780068	4.59165577905e-07	18.0760237909
