level_0,Step05_predicted_from_W3110,Step09_predicted_from_Step05,Step10_predicted_from_Step09,Step10_predicted_from_W3110,iBAQ_Step04,iBAQ_Step05,iBAQ_Step09,iBAQ_Step10,iBAQ_W3110,$D_{KL}\left(\text{iBAQ_Step05}\|\text{Step05_predicted_from_W3110}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_Step09}\right)$,$D_{KL}\left(\text{iBAQ_Step09}\|\text{Step09_predicted_from_Step05}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_W3110}\right)$,$\log_2\left(\frac{\text{iBAQ_Step05}}{\text{Step05_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_Step09}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step09}}{\text{Step09_predicted_from_Step05}}\right)$
b4479,1.89853676770033e-05,2.194252903655901e-05,0.0,0.0,2.3704175749762683e-05,2.1796879464464774e-05,2.0298698334499634e-05,0.0,1.8958109480073177e-05,1.9859924214564445e-07,0.0,6.317195088431318e-08,0.0,0.199233668379879,,,4.670956862557764
b3752,7.190002160076533e-06,1.217846934368933e-05,0.0,0.0,6.577273212542499e-06,1.209763140355418e-05,8.892089295675664e-06,0.0,7.179679131408262e-06,1.3869886677029892e-06,0.0,4.897508609358376e-07,0.0,0.7506605005408886,,,4.694959135899367
b3746,3.4590650449902116e-05,4.4173661190104714e-05,0.0,0.0,4.6039338321217827e-05,4.3880446363342725e-05,6.468208176658613e-05,0.0,3.454098700498256e-05,1.1487207610478675e-06,0.0,4.15844764096982e-06,0.0,0.3431960585775151,,,4.820427725878616
b3698,0.000115167289675721,8.078906356881403e-05,0.0,0.0,0.000114178655594084,8.025280393716051e-05,6.907196043067911e-05,0.0,0.00011500193851079773,5.92684691111895e-06,0.0,8.940285010461364e-07,0.0,-0.5211073100470909,,,4.015118774127387
b3677,2.15586677371673e-05,1.4860817128535688e-05,0.0,0.0,6.685725759771202e-06,1.4762174367159565e-05,1.4974215736139594e-05,0.0,2.1527714930736135e-05,1.2059128590331011e-06,0.0,4.3155971597053533e-10,0.0,-0.5463627903499351,,,4.928946242283422
b1920,0.00015944482145311106,0.0001919144190119928,0.00021557232056937457,0.00016137987860510527,0.0001926710696423925,0.00019064053426692815,0.00021538968588967524,0.0001765650079902519,0.0001592158989262157,2.8701721386724345e-06,3.7636442198379005e-06,1.3805610849196997e-06,6.930167041410966e-07,0.2577976581603423,3.5377189990626405,3.955430237691946,3.90418759273555
b1944,0.00014361695352653058,0.00011481570205371637,0.0001914709600660992,0.00014535992021893495,8.388290097019736e-06,0.00011405358124959388,0.0001913087442613473,0.00014911183349060987,0.00014341075582373485,3.276147588869647e-06,5.075268175262082e-06,2.1181613982715675e-05,4.8009378902355354e-08,-0.33251431722441716,3.53977280764002,3.937268873481745,4.526770449964948
b1940,4.62023844169866e-05,5.6899180647196006e-05,8.644082774663483e-05,4.676310663794358e-05,8.388290097019736e-06,5.652149668469701e-05,8.636759435170382e-05,7.655891867015439e-05,4.6136049452370415e-05,1.0750353684188521e-06,5.876958184593961e-07,6.575512541726533e-06,7.945135754897862e-06,0.29083236032302295,4.020477652232275,4.90681976319623,4.744334578797995
b1939,0.00016752612223130644,0.0001663251356648932,0.00020224751047121732,0.0001695592558132891,1.012438747511578e-05,0.0001652211068267522,0.0002020761646824939,0.00017261182273669928,0.00016728559699585093,1.593074816960932e-08,2.285867004446924e-06,3.59323215980362e-06,2.731418169055655e-08,-0.019988070201007346,3.607125151610255,3.8614575561773403,4.046840290333117
b1937,1.3414311135973065e-05,1.2483057374109436e-05,1.6330927733705137e-05,1.3577110143593226e-05,8.388290097019736e-06,1.2400197647140973e-05,1.6317092034632265e-05,1.5831684898460338e-05,1.3395051570351421e-05,3.9337417545803766e-08,7.709996149981788e-09,5.36348889402882e-07,1.7761546218112632e-07,-0.11340985394262404,4.848536471339266,5.114966783784437,5.2663717408926995
