$gene_or_promoter	SolutionOrder	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass
b0959	10	7.079688593152859	0.017911945107084437	60.83427354843341
b0960	10	7.079688593152859	0.017911945107084437	60.852185493540496
b0961	10	7.079688593152859	0.007483967694180374	60.859669461234674
PM0-36232	10	7.079688593152859	0.0	60.859669461234674
PM0-36233	10	7.079688593152859	0.0	60.859669461234674
b0962	10	7.079688593152859	0.017911945107084437	60.87758140634176
b0963	10	7.079688593152859	0.024360959447402804	60.90194236578916
PM0-10012	10	7.079688593152859	0.0	60.90194236578916
b0964	10	7.079688593152859	0.017911945107084437	60.91985431089625
PM0-36218	10	7.079688593152859	0.0	60.91985431089625
b0965	10	7.079688593152859	0.017911945107084437	60.937766256003336
b0966	10	7.079688593152859	0.017911945107084437	60.95567820111042
b0967	10	7.079688593152859	0.012683497537642155	60.96836169864807
b0968	10	7.079688593152859	0.017911945107084437	60.986273643755155
b0969	10	7.079688593152859	0.017911945107084437	61.00418558886224
b0970	10	7.079688593152859	0.017911945107084437	61.02209753396933
PM0-9395	10	7.079688593152859	0.0	61.02209753396933
b0971	10	7.079688593152859	0.017911945107084437	61.04000947907642
b4493	9	4.832740699063095	0.017911945107084437	72.82545899297904
b1418	9	4.832740699063095	0.017911945107084437	72.84337093808612
b4597	9	4.832740699063095	0.017911945107084437	72.86128288319321
PM0-9545	9	4.832740699063095	0.0	72.86128288319321
b1419	9	4.832740699063095	0.017911945107084437	72.8791948283003
b4428	9	4.832740699063095	0.017911945107084437	72.89710677340739
b1420	9	4.832740699063095	0.017911945107084437	72.91501871851447
PM0-46364	9	4.832740699063095	0.0	72.91501871851447
b4429	9	4.832740699063095	0.017911945107084437	72.93293066362156
PM0-10039	9	4.832740699063095	0.0	72.93293066362156
b1421	9	4.832740699063095	9.912772307778867e-06	72.93294057639388
b1422	9	4.832740699063095	0.017911945107084437	72.95085252150096
PM0-36238	9	4.832740699063095	0.0	72.95085252150096
b1423	9	4.832740699063095	0.017911945107084437	72.96876446660805
b1424	9	4.832740699063095	0.007970239112963797	72.97673470572101
b1426	9	4.832740699063095	0.017911945107084437	72.9946466508281
PM00370	9	4.832740699063095	0.0	72.9946466508281
b1427	9	4.832740699063095	0.00255418540982631	72.99720083623792
b1428	9	4.832740699063095	0.017911945107084437	73.01511278134501
PM-8830	9	4.832740699063095	0.0	73.01511278134501
b1429	9	4.832740699063095	0.017911945107084437	73.0330247264521
b1430	9	4.832740699063095	0.008064543843634623	73.04108927029573
